semantic_group,meanMeasure_within,meanMeasure_NULL,effect_size,std_effect_size,nPairwiseDistances_within,nPairwiseDistances_NULL,nWithinGroupObs,nAllObsAvail,class,SES
Not classified,0.330905210801009,0.33328527862842033,-0.0023800678274113474,-0.21,351,6164965,27,3512,Outlines,SES = -0.21
Mesolithic,0.38766194114056,0.33200448707379765,0.05565745406676237,99.88,143916,6021400,537,3512,Outlines,SES = 99.88
Magdalenian,0.2684436320504797,0.3359150115052147,-0.06747137945473497,-155.79,238395,5926921,691,3512,Outlines,SES = -155.79
TPC,0.27424837223730997,0.33388122761088473,-0.05963285537357477,-68.78,60031,6105285,347,3512,Outlines,SES = -68.78
FBT/LBI,0.4452815329579647,0.3309138621240469,0.1143676708339178,196.3,128778,6036538,508,3512,Outlines,SES = 196.3
Epigravettian,0.399950431091461,0.33300758163864463,0.06694284945281637,51.55,27028,6138288,233,3512,Outlines,SES = 51.55
ABP/Azilian,0.253996475476319,0.33655914847481794,-0.08256267299849895,-193.28,243253,5922063,698,3512,Outlines,SES = -193.28
ABP/FMG,0.28533838102454545,0.33417843433479644,-0.048840053310250986,-76.56,110685,6054631,471,3512,Outlines,SES = -76.56
Not classified,0.2708333333333333,0.24704041666666668,0.023792916666666636,0.28,1,3740,2,96,Tools,SES = 0.28
Mesolithic,0.2337962962962963,0.24724096064814816,-0.013444664351851848,-0.94,36,3705,10,96,Tools,SES = -0.94
Magdalenian,0.22249670619235837,0.24886338109354414,-0.02636667490118577,-5.09,253,3488,24,96,Tools,SES = -5.09
TPC,0.15277777777777776,0.2490919577991453,-0.09631418002136755,-10.17,78,3663,14,96,Tools,SES = -10.17
FBT/LBI,0.17857142857142858,0.24745833333333334,-0.06888690476190476,-3.71,21,3720,7,96,Tools,SES = -3.71
Epigravettian,0.24583333333333335,0.24726789583333333,-0.0014345624999999862,-0.05,10,3731,7,96,Tools,SES = -0.05
ABP/Azilian,0.19253663003663005,0.24842557005494506,-0.055888940018315014,-6.32,91,3650,18,96,Tools,SES = -6.32
ABP/FMG,0.20283882783882784,0.24821037545787544,-0.0453715476190476,-5.13,91,3650,14,96,Tools,SES = -5.13
Not classified,0.5576923076923077,0.2750205769230769,0.2826717307692308,2.37,1,3740,2,96,Technology,SES = 2.37
Mesolithic,0.2216880341880342,0.27616094284188036,-0.05447290865384616,-2.73,36,3705,10,96,Technology,SES = -2.73
Magdalenian,0.24384311340833081,0.278068986013986,-0.03422587260565518,-4.66,253,3488,24,96,Technology,SES = -4.66
TPC,0.2416173570019724,0.27646893121301774,-0.034851574211045344,-2.57,78,3663,14,96,Technology,SES = -2.57
FBT/LBI,0.2261904761904762,0.2759415750915751,-0.049751098901098884,-1.91,21,3720,7,96,Technology,SES = -1.91
Epigravettian,0.40384615384615385,0.2753692403846154,0.12847691346153844,3.4,10,3731,7,96,Technology,SES = 3.4
ABP/Azilian,0.2586644125105664,0.2761500179628064,-0.01748560545224004,-1.39,91,3650,18,96,Technology,SES = -1.39
ABP/FMG,0.2595097210481826,0.27612678043110733,-0.016617059382924737,-1.35,91,3650,14,96,Technology,SES = -1.35
