"class","semantic_group","nWithinGroupObs","SES","meanMeasure_within","meanMeasure_NULL","effect_size","std_effect_size","nPairwiseDistances_within","nPairwiseDistances_NULL",,"nAllObsAvail"
"Tools","Not classified",2,0.28,0.27,0.25,0.02,0.28,1,3740,,96
,"Mesolithic",10,-0.94,0.23,0.25,-0.01,-0.94,36,3705,,96
,"Magdalenian",24,-5.09,0.22,0.25,-0.03,-5.09,253,3488,,96
,"TPC",14,-10.17,0.15,0.25,-0.10,-10.17,78,3663,,96
,"FBT/LBI",7,-3.71,0.18,0.25,-0.07,-3.71,21,3720,,96
,"Epigravettian",7,-0.05,0.25,0.25,0.00,-0.05,10,3731,,96
,"ABP/Azilian",18,-6.32,0.19,0.25,-0.06,-6.32,91,3650,,96
,"ABP/FMG",14,-5.13,0.20,0.25,-0.05,-5.13,91,3650,,96
"Technology","Not classified",2,2.37,0.56,0.28,0.28,2.37,1,3740,,96
,"Mesolithic",10,-2.73,0.22,0.28,-0.05,-2.73,36,3705,,96
,"Magdalenian",24,-4.66,0.24,0.28,-0.03,-4.66,253,3488,,96
,"TPC",14,-2.57,0.24,0.28,-0.03,-2.57,78,3663,,96
,"FBT/LBI",7,-1.91,0.23,0.28,-0.05,-1.91,21,3720,,96
,"Epigravettian",7,3.4,0.40,0.28,0.13,3.4,10,3731,,96
,"ABP/Azilian",18,-1.39,0.26,0.28,-0.02,-1.39,91,3650,,96
,"ABP/FMG",14,-1.35,0.26,0.28,-0.02,-1.35,91,3650,,96
"Outlines","Not classified",27,-0.21,0.33,0.33,0.00,-0.21,351,6164965,,3512
,"Mesolithic",537,99.88,0.39,0.33,0.06,99.88,143916,6021400,,3512
,"Magdalenian",691,-155.79,0.27,0.34,-0.07,-155.79,238395,5926921,,3512
,"TPC",347,-68.78,0.27,0.33,-0.06,-68.78,60031,6105285,,3512
,"FBT/LBI",508,196.3,0.45,0.33,0.11,196.3,128778,6036538,,3512
,"Epigravettian",233,51.55,0.40,0.33,0.07,51.55,27028,6138288,,3512
,"ABP/Azilian",698,-193.28,0.25,0.34,-0.08,-193.28,243253,5922063,,3512
,"ABP/FMG",471,-76.56,0.29,0.33,-0.05,-76.56,110685,6054631,,3512
